,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
61,Magnolia White,"Embroidered Front, Embroidered Back, Full Sleeves, Y Neckline",Straight Kurta,This elegant chikan kari kurta in pure white is an instant classic which can be paired with any of our dupattas for a unique look.,"Rs.3,990.00","Rs.2,593.50",White,Shifflee,"XS,S,M,L,XL",
62,Mint Breeze,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,"This versatile band-collared shirt comes in a refreshing shade of mint, with intricate embroidery along the front and back and tasselled placket details.","Rs.4,990.00","Rs.3,243.50",Mint Green,Shifflee,"XXS,XS,S,M,L,XL",
63,Pastel Beam,"Embroidered Front, Plain Back, Full Sleeves, Y Neckline",Straight Kurta,This kurta is made from a light pistachio-hued silky cotton net worked with delicate tea-pink embroidery. It features a Y neckline and beading on the sleeves.,"Rs.6,490.00","Rs.4,218.50",Green / Pistachio,Silk Cotton Net,"XS,S,M,L,XL",
64,Pastel Peace,"Embroidered Front, Plain Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,"This silky cotton net kurta comes in the lightest shade of tea pink, with embroidery along the front and a flattering split round collar.","Rs.6,990.00","Rs.4,543.50",Pastel Tea Pink,Silk Cotton Net,"XS,S,M,L,XL",
65,Pastel Rum,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neck with Placket",Straight Kurta,"This heavily embroidered shirt comes in a refreshing combination of lemon and white, with tasselled sleeve details and a band collar.","Rs.4,990.00","Rs.3,243.50",Yellow,Shifflee,"XS,S,M,L,XL",
66,Pistachio Florals,"Embroidered Front, Embroidered Back, Full Sleeves, Y Neckline",Straight Kurta,"A classic kurta with a Y-neckline and self embroidery, updated with the lightest wash of pistachio green.","Rs.4,990.00","Rs.3,243.50",Mint Green,Shifflee,"XS,S,M,L,XL",
67,Royal Boxers,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,"Featuring a split band collar and intricately detailed sleeves, this light seashell pink kurta is a modern classic.","Rs.5,990.00","Rs.3,893.50",White,Yarn Dyed Dobby Box,"XS,S,M,L,XL",
68,Blackish Galaxy,,Tulip Shalwar,This silky tulip shalwar comes in a jet-black shade with golden metallic edging.,"Rs.3,490.00","Rs.2,268.50",Black,Bemberg Grip,"XXS,XS,S,M,L,XL",
69,Red Wood,"Embroidered Front, Plain Back, Full with Embroidery, Boat Neck",Straight Kurta,"This longline kurta with a boat neck comes in rosy jacquard, and features linear dark embroidered patterns.","Rs.4,990.00","Rs.3,243.50",Red,Self Jacquard,"XXS,XS,S,M,L,XL",
70,Green Fobia,"Embroidered Front, Plain Back with Embroidered Hem, Full with Embroidery, Round Neck with Slit",Front Slit Shirt,This deep teal crepe piece is the opposite of demure with its sensuous black lace detailing and split neckline.,"Rs.6,990.00","Rs.4,543.50",Green,Crepe Weaved,"XS,S,M,L,XL",
71,Mustard Mania,"Embroidered Front, Embroidered Back, Full with Embroidered Cuff, Y Neckline",Straight Kurta,This jacquard kurta with a Y-neckline comes in a vibrant ochre shade with contrasting round embroidered motifs.,"Rs.4,490.00","Rs.2,918.50",Mustard,Self Jacquard,"XS,S,M,L,XL",
72,Ice Pink,"Embroidered Front, Plain Back, Full with Embroidered Border, Wrap Arround Neck",Angrakha,"A delicate sea green khaddar angrakha, with an embroidered wrap neckline and intricately worked motifs across the front.","Rs.3,990.00","Rs.2,593.50",Sea Green,Khaddar,"XXS,XS,S,M,L,XL",
73,Glimmering Garden,"Embroidered Front, Embroidered Back, Full with Embroidered Border, Y Neckline",Straight Kurta,Geometric crimson motifs and cuff detailing adorn this off-white jacquard kurta.,"Rs.4,990.00","Rs.3,243.50",Off-White,Self Jacquard,"XXS,XS,S,M,L,XL",
74,Black Frost,,Straight Pants,These straight-cut trousers come in jet black raw silk.,"Rs.4,490.00","Rs.2,918.50",Black,Raw Silk,"XS,S,M,L,XL",
75,Stone age Glow,,Tulip Shalwar,An elegant white tulip shalwar in raw silk with delicate embroidered motifs.,"Rs.3,990.00","Rs.2,593.50",White,Raw Silk,"XXS,XS,S,M,L,XL",
