,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
152,Twilight,,T-Shirt,A soft navy-blue tee in 100% cotton.,"Rs.1,490.00",Rs.968.50,Navy,100%cotton,"XS,S,M,L,XL",
153,Air,,Sweat Shirt,An athletic dove grey sweatshirt with short sleeves.,"Rs.1,290.00",Rs.838.50,Grey,100% Cotton,"XS,S,M,L,XL",
154,Tundra,,Jogger pants,These cozy jogger pants come in a classic heather grey.,"Rs.2,490.00","Rs.1,618.50",Grey,65% Polyester & 35% Cotton,"XS,S,M,L,XL",
155,Torque,,Jogger pants,Plush sweatpants in a grey hue take you from the gym to the street.,"Rs.2,490.00","Rs.1,618.50",Grey,65% Polyester & 35% Cotton,"XS,S,M,L,XL",
156,Harness,,Hooded Shirt,This deep indigo hooded sweatshirt comes with contrasting panels on the sleeves.,"Rs.2,490.00","Rs.1,618.50",Navy,100% polyester,"XS,S,M,L,XL",
157,Girl Power,,T-Shirt,Flaunt your femininity with our black tee.,"Rs.1,490.00",Rs.968.50,Black,100% Cotton,"XS,S,M,L,XL",
158,Brienne,,Culottes,,"Rs.2,990.00","Rs.1,943.50",Merlot,"97% Polyester, 3% Elastane","XS,S,M,L,XL",
159,Best Dressed,,Dress Pants,,"Rs.3,490.00","Rs.2,268.50",Grey,"30% Nylon, 65% Rayon, 5% Elastane","XS,S,M,L,XL",
160,Carmelle,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Brown,100% Poly Cordoury,"XS,S,M,L,XL",
161,Eloquent,,Blazer,,"Rs.4,490.00","Rs.2,918.50",Navy,"97%Polyester, 3%Elastane","XS,S,M,L,XL",
162,Liberty,,Culottes,,"Rs.2,990.00","Rs.1,943.50",Navy,"97% Polyester, 3% Elastane","XS,S,M,L,XL",
163,Glaston,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Olive,100% Poly Cordoury,"XS,S,M,L,XL",
164,Urban Safari,,Dress Pants,,"Rs.3,490.00","Rs.2,268.50",Beige,"30% Nylon, 65% Rayon, 5% Elastane","XS,S,M,L,XL",
165,Cabelle,,Culottes,,"Rs.3,990.00","Rs.2,593.50",Blue,100% Polyester,"XS,S,M,L,XL",
166,Chine,,Culottes,,"Rs.3,490.00","Rs.2,268.50",Blue & White,100% Polyester Satin,"XS,S,M,L,XL",
167,West End,,Blazer,,"Rs.3,990.00","Rs.2,593.50",White,100% Polyester,"XS,S,M,L,XL",
168,Monaco,,Western Top,,"Rs.2,990.00","Rs.1,943.50",Navy,100% Polyester,"XS,S,M,L,XL",
169,Jade Palace,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Mud Green,100% Tencel,"XS,S,M,L,XL",
170,Olivia,,Western Top,,"Rs.2,790.00","Rs.1,813.50",White,100% Polyester Satin,"XS,S,M,L,XL",
171,Dian,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Black,100% Tencel,"XS,S,M,L,XL",
172,Marina,,Casual Shirt,,"Rs.2,990.00","Rs.1,943.50",Navy,100% Tencel,"XS,S,M,L,XL",
173,Grenada,,Western Top,,"Rs.2,790.00","Rs.1,813.50",Olive,100% Cotton,"XS,S,M,L,XL",
174,Tuscan Fall,,Western Top,,"Rs.2,990.00","Rs.1,943.50",Brown,"85% Polyester, 15% Elastane","XS,S,M,L,XL",
175,Maxine,,Western Top,,"Rs.2,490.00","Rs.1,618.50",White,100% Polyester,"XS,S,M,L,XL",
176,Pablo,,T-Shirt,An artsy abstract printed white cotton tee.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
177,Frida,,T-Shirt,A white cotton tee with a graphic abstract floral print.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
178,Electra,,T-Shirt,A classic white tee with eclectic spring blooms printed on it.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
179,Dare,,T-Shirt,A versatile black cotton tee with a minimalist graphic bird print.,"Rs.1,490.00",Rs.968.50,Black,100%cotton,"XS,S,M,L,XL",
180,Self Love,,T-Shirt,An inspirational white cotton tee printed with a bar code and 'believe in yourself.',"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
181,Gen Z,,T-Shirt,A cute white cotton tee-shirt printed with 'What are we gonna do with all this future?',"Rs.1,290.00",Rs.838.50,White,100%cotton,"XS,S,M,L,XL",
182,Botanique,,T-Shirt,A tropical graphic print white cotton tee.,"Rs.1,490.00",Rs.968.50,White,100%cotton,"XS,S,M,L,XL",
183,Prepster,,Formal Shirt,A stylish blue cotton button down with white stripes.,"Rs.2,990.00","Rs.1,943.50",Indigo Blue,100%cotton,"XS,S,M,L,XL",
184,Glasgow,,Casual Shirt,A demure blue button down shirt with a checkered print.,"Rs.3,490.00","Rs.2,268.50",Blue,100%cotton,"XS,S,M,L,XL",
185,Oxford,,Casual Shirt,A forest green laid-back button down in with a plaid print.,"Rs.3,490.00","Rs.2,268.50",Green,100%cotton,"XS,S,M,L,XL",
186,Darcy,,Formal Shirt,A romantic high-collared floral confection with full sleeves.,"Rs.3,490.00","Rs.2,268.50",Cream,100%Polyester,"XS,S,M,L,XL",
187,April,,Western Top,A monochromatic piece with bold white piping on a black base.,"Rs.2,990.00","Rs.1,943.50",Black & White,100%polyester,"XS,S,M,L,XL",
188,Belle,,Western Top,A monochromatic piece with bold black-on-white piping.,"Rs.2,990.00","Rs.1,943.50",Black & White,100%polyester,"XS,S,M,L,XL",
189,Provence,,Western Top,A classic blouse with a bow neck and striped multi-tonal pattern to take you from the office to a party.,"Rs.3,490.00","Rs.2,268.50",Multi Colored,100%Polyester,"XS,S,M,L,XL",
190,Perla,,Western Top,A ladylike blouse with delicate ruffle detailing in a fine ivory hue.,"Rs.2,490.00","Rs.1,618.50",White,100%Polyester,"XS,S,M,L,XL",
191,London,,Western Top,A red plaid peplum top with contrasting black detailing on the sleeves and collar.,"Rs.3,490.00","Rs.2,268.50",Red Checks,100%Polyester,"XS,S,M,L,XL",
192,Julia,,Jeggings,High waisted jeggings in a merlot hue with a flattering fit and zipper details.,"Rs.2,990.00","Rs.1,943.50",Merlot,"34%Nylon, 61%Viscose, 5%Elastane","XS,S,M,L,XL",
193,Urbana,,Jeggings,High waisted navy blue jeggings with a flattering fit and button details.,"Rs.2,990.00","Rs.1,943.50",Navy,"34%Nylon, 61%Viscose, 5%Elastane","XS,S,M,L,XL",
194,Marina,,Dress Pants,"Straight fit, cuffed trousers in an ivory wash.","Rs.2,990.00","Rs.1,943.50",White,"95%Polyester, 5%Elastane","XS,S,M,L,XL",
195,Autumn,,Dress Pants,"Ankle cropped, relaxed fit trousers in a dark taupe.","Rs.2,990.00","Rs.1,943.50",Tea Pink,"95%Polyester, 5%Elastane","XS,S,M,L,XL",
196,Slate,,Dress Pants,Straight-leg smokey grey trousers in a relaxed fit.,"Rs.3,490.00","Rs.2,268.50",Grey,"30%Nylon, 65%Rayon, 5%Elastane","XS,S,M,L,XL",
197,Bijou,,Dress Pants,Mint green ankle-cropped trousers with a straight leg.,"Rs.2,990.00","Rs.1,943.50",Mint Green,"30%Nylon, 65%Rayon, 5%Elastane","XS,S,M,L,XL",
198,Del Mar,,Dress Pants,"High waisted, belted pants with a straight leg and pleats in a deep brick red hue.","Rs.3,490.00","Rs.2,268.50",Maroon,100%Polyester,"XS,S,M,L,XL",
199,Influencer,,Dress Pants,"High waisted, belted pants with a straight leg and pleats in bold black.","Rs.3,490.00","Rs.2,268.50",Black,100%Polyester,"XS,S,M,L,XL",
200,Helvetica,,Culottes,Cotton trousers with a paper bag waist in oxford blue.,"Rs.2,790.00","Rs.1,813.50",Navy,100%cotton,"XS,S,M,L,XL",
